Destination,District,Timespan,Review
Attidiya Bird Sanctuary,colombo,4 years ago,walk three round result steps celery loss hours
Attidiya Bird Sanctuary,colombo,4 years ago,pretty nice place lucky might able see salt water cross well
Attidiya Bird Sanctuary,colombo,5 years ago,beautiful area people dumped garbage made area many birds butterflies small around
Attidiya Bird Sanctuary,colombo,9 months ago,place see crocodiles birds
Attidiya Bird Sanctuary,colombo,4 years ago,great place becoming lovers park lovers seem limits behavior
Attidiya Bird Sanctuary,colombo,4 years ago,walk around walking path cycling
Attidiya Bird Sanctuary,colombo,3 years ago,great splendid time watching birds sanctuary place clean nice
Attidiya Bird Sanctuary,colombo,4 years ago,kind calm peaceful place specially good mind relaxation also beautiful place
Attidiya Bird Sanctuary,colombo,4 years ago,place observe birds around world specially winter good studying birds
Attidiya Bird Sanctuary,colombo,7 years ago,lot space facilities food parking spaces bicycle natural walking path
Attidiya Bird Sanctuary,colombo,5 years ago,cool family outing good street foods also available near
Attidiya Bird Sanctuary,colombo,7 years ago,nice place hangout evening rent bicycle ride around paddy field nice scenarios
Attidiya Bird Sanctuary,colombo,4 years ago,visitors come place polythene plastic wastes left everywhere urge everyone responsibility keep places clean
Attidiya Bird Sanctuary,colombo,7 years ago,city place touch nature interested bird watching taking photos willing get shoes mud good place
Attidiya Bird Sanctuary,colombo,6 years ago,place path restaurants also available nice place relax evenings
Attidiya Bird Sanctuary,colombo,7 years ago,really good place like rest beautiful scenery
Attidiya Bird Sanctuary,colombo,5 years ago,nice location bird butterfly watching
Attidiya Bird Sanctuary,colombo,4 years ago,week days much crowd crowded perfect place quick bites
Attidiya Bird Sanctuary,colombo,3 years ago,beautiful views make use lake allowing boat rides
Attidiya Bird Sanctuary,colombo,5 days ago,good
Attidiya Bird Sanctuary,colombo,3 years ago,nice place evening walk specially weekday crowds
Attidiya Bird Sanctuary,colombo,a month ago,good
Attidiya Bird Sanctuary,colombo,4 years ago,hardly animals small part left happy
Attidiya Bird Sanctuary,colombo,5 years ago,good place easy access food court parking available
Attidiya Bird Sanctuary,colombo,4 years ago,great place nice view bring relax
Attidiya Bird Sanctuary,colombo,3 years ago,good place spend time friend family members
Attidiya Bird Sanctuary,colombo,6 years ago,increasing pollution made less sanctuary birds plan go bird watching prepared disappointed
Attidiya Bird Sanctuary,colombo,5 years ago,great place visit watch lot birds place
Attidiya Bird Sanctuary,colombo,a month ago,supper
Attidiya Bird Sanctuary,colombo,4 years ago,see alligator around colombo best place proper entrance
Attidiya Bird Sanctuary,colombo,3 years ago,sensitive conservation area colombo love nice place walk
Attidiya Bird Sanctuary,colombo,4 years ago,water birds mostly place make visit
Attidiya Bird Sanctuary,colombo,4 years ago,bird park constructions become good place relax mind
Attidiya Bird Sanctuary,colombo,4 years ago,place track bicycle riding walking
Attidiya Bird Sanctuary,colombo,3 years ago,track cycling track close walk bird songs
Attidiya Bird Sanctuary,colombo,3 years ago,good place spend  spare time close temple
Attidiya Bird Sanctuary,colombo,5 years ago,good join path cycling path area beautiful
Attidiya Bird Sanctuary,colombo,3 years ago,great place unwind nature
Attidiya Bird Sanctuary,colombo,4 years ago,beautiful place many reptiles place
Attidiya Bird Sanctuary,colombo,4 years ago,best surprised never bird thereof
Attidiya Bird Sanctuary,colombo,5 years ago,buy cocoons food fish food love place clean nicely kept
Attidiya Bird Sanctuary,colombo,11 months ago,nice place natural birds
Attidiya Bird Sanctuary,colombo,4 years ago,beautiful placenta many bird good
Attidiya Bird Sanctuary,colombo,6 years ago,nice place spend time track cycling track
Attidiya Bird Sanctuary,colombo,2 years ago,location ecology developed go become full fledged sanctuary
Attidiya Bird Sanctuary,colombo,8 years ago,best place riding much maintenance current government
Attidiya Bird Sanctuary,colombo,6 years ago,nice place take little rest long driving
Attidiya Bird Sanctuary,colombo,7 years ago,used sit visit temple noon place hot
Attidiya Bird Sanctuary,colombo,4 years ago,restricted area went nothing watch rumors says good place girls
Attidiya Bird Sanctuary,colombo,3 years ago,lovely spot bird watching specially water migrants
Attidiya Bird Sanctuary,colombo,7 years ago,nice natural place good place watch birds feel natural
Attidiya Bird Sanctuary,colombo,a year ago,good place cycling walking
Attidiya Bird Sanctuary,colombo,6 years ago,place cycling food partner
Attidiya Bird Sanctuary,colombo,4 years ago,animal hospital bring animals place take
Attidiya Bird Sanctuary,colombo,3 years ago,great place drop bird u might
Attidiya Bird Sanctuary,colombo,5 years ago,beautiful place watch migrating birds
Attidiya Bird Sanctuary,colombo,4 years ago,lovely
Attidiya Bird Sanctuary,colombo,5 years ago,gorgeous place many varieties birds cross
Attidiya Bird Sanctuary,colombo,3 years ago,really nice place visit
Attidiya Bird Sanctuary,colombo,6 years ago,good place may got restaurant
Attidiya Bird Sanctuary,colombo,5 years ago,relaxing walking path saw lots visiting birds
Attidiya Bird Sanctuary,colombo,4 years ago,wild life sanctuary animal hospital provide treat animals
Attidiya Bird Sanctuary,colombo,6 years ago,badly polluted due human activities yet trying keep well constructions happened
Attidiya Bird Sanctuary,colombo,5 years ago,good bicycle riding low choice food
Attidiya Bird Sanctuary,colombo,5 years ago,awesome place visit colombo witness wide variety birds
Attidiya Bird Sanctuary,colombo,4 years ago,place big biodiversity ideal location bird watching
Attidiya Bird Sanctuary,colombo,4 years ago,nice place watch photographs kinds birds
Attidiya Bird Sanctuary,colombo,5 years ago,good place cycling crowded
Attidiya Bird Sanctuary,colombo,4 years ago,nature lovers location watch birds good place discover nature beginners
Attidiya Bird Sanctuary,colombo,4 years ago,good place hang friends family
Attidiya Bird Sanctuary,colombo,6 years ago,cool place outing different types food available
Attidiya Bird Sanctuary,colombo,4 years ago,much birds watch place relax mind within colombo area
Attidiya Bird Sanctuary,colombo,4 years ago,nice lots birds urbanized
Attidiya Bird Sanctuary,colombo,6 years ago,great place bicycle ride
Attidiya Bird Sanctuary,colombo,5 years ago,nice place u like nature
Attidiya Bird Sanctuary,colombo,6 years ago,beautiful clean natural looking area
Attidiya Bird Sanctuary,colombo,5 years ago,nice calm place crowded
Attidiya Bird Sanctuary,colombo,8 years ago,nice place rent bicycle ride along lake side
Attidiya Bird Sanctuary,colombo,4 years ago,bird sanctuary closed place doesn't go allow anyone go inside
Attidiya Bird Sanctuary,colombo,5 years ago,good place relax food cycling
Attidiya Bird Sanctuary,colombo,4 years ago,clam love place
Attidiya Bird Sanctuary,colombo,7 years ago,best place relax recreation food
Attidiya Bird Sanctuary,colombo,3 years ago,crowded place next temple popular among locals
Attidiya Bird Sanctuary,colombo,4 years ago,good walking well birding
Attidiya Bird Sanctuary,colombo,5 years ago,lovely place near colonel
Attidiya Bird Sanctuary,colombo,5 years ago,could find bird sanctuary place changed you animal hospital please update records
Attidiya Bird Sanctuary,colombo,5 years ago,good place bicycle riding
Attidiya Bird Sanctuary,colombo,5 years ago,great place stroll evening
Attidiya Bird Sanctuary,colombo,6 years ago,good place birds photography colombo cleaned place
Attidiya Bird Sanctuary,colombo,4 years ago,birds worst place visit u need watch birds go
Attidiya Bird Sanctuary,colombo,5 years ago,nice place stay family friends
Attidiya Bird Sanctuary,colombo,3 years ago,good natural place green scenery
Attidiya Bird Sanctuary,colombo,5 years ago,good facility bad smell areas close lake
Attidiya Bird Sanctuary,colombo,4 years ago,used go walk walking track
Attidiya Bird Sanctuary,colombo,6 years ago,place really good relaxing
Attidiya Bird Sanctuary,colombo,7 years ago,people destroying place new construction garbage dumping got need protect places people destroy good
Attidiya Bird Sanctuary,colombo,3 years ago,nice place bicycle ride
Attidiya Bird Sanctuary,colombo,5 years ago,beautiful
Attidiya Bird Sanctuary,colombo,3 years ago,good tasty foods big offers customers
Attidiya Bird Sanctuary,colombo,4 years ago,safe place
Attidiya Bird Sanctuary,colombo,5 years ago,good place bird watching mainly flamingos starts
Attidiya Bird Sanctuary,colombo,4 years ago,sad see lovely place like turned garbage dump
Attidiya Bird Sanctuary,colombo,3 years ago,beautiful visiting place special birds
Attidiya Bird Sanctuary,colombo,4 years ago,good place visit
Attidiya Bird Sanctuary,colombo,6 years ago,calm quite area surrounded busy towns
Attidiya Bird Sanctuary,colombo,6 years ago,good place joking cycling walking
Attidiya Bird Sanctuary,colombo,2 years ago,thanks much help support
Attidiya Bird Sanctuary,colombo,4 years ago,get nice colors hand bags
Attidiya Bird Sanctuary,colombo,4 years ago,good place Waterland birds
Attidiya Bird Sanctuary,colombo,2 years ago,foods
Attidiya Bird Sanctuary,colombo,4 years ago,good place relax n cycle
Attidiya Bird Sanctuary,colombo,3 years ago,good place decent workout
Attidiya Bird Sanctuary,colombo,6 years ago,one best places wild photograph
Attidiya Bird Sanctuary,colombo,6 years ago,calm nice place lots views
Attidiya Bird Sanctuary,colombo,4 years ago,great place buy plants food items
Attidiya Bird Sanctuary,colombo,6 years ago,good place person loves nature
Attidiya Bird Sanctuary,colombo,4 years ago,good lot dogs
Attidiya Bird Sanctuary,colombo,5 years ago,good used years back get birds
Attidiya Bird Sanctuary,colombo,4 years ago,one protective area general public less sad
Attidiya Bird Sanctuary,colombo,4 years ago,one best walking places
Attidiya Bird Sanctuary,colombo,5 years ago,nice place visit quite calm
Attidiya Bird Sanctuary,colombo,5 years ago,must visit place well arranged
Attidiya Bird Sanctuary,colombo,6 years ago,place good calm walk
Attidiya Bird Sanctuary,colombo,5 years ago,place protect future generations sadly polluting
Attidiya Bird Sanctuary,colombo,4 years ago,good beautiful care place
Attidiya Bird Sanctuary,colombo,3 years ago,clean calm place beautiful
Attidiya Bird Sanctuary,colombo,5 years ago,great place morning walk
Attidiya Bird Sanctuary,colombo,5 years ago,greatest customer service oriented staff
Attidiya Bird Sanctuary,colombo,4 years ago,superb place quite walk
Attidiya Bird Sanctuary,colombo,4 years ago,beautiful people start spoiling place
Attidiya Bird Sanctuary,colombo,6 years ago,best place colombo spend evening
Attidiya Bird Sanctuary,colombo,6 years ago,nice place walk cycling
Attidiya Bird Sanctuary,colombo,5 years ago,nice place walk around
Attidiya Bird Sanctuary,colombo,4 years ago,really nice place evenings
Attidiya Bird Sanctuary,colombo,4 years ago,small bird sanctuary located area
Attidiya Bird Sanctuary,colombo,5 years ago,rare birds lot pollution around place
Attidiya Bird Sanctuary,colombo,6 years ago,perfect cool place watch birds watery background
Attidiya Bird Sanctuary,colombo,3 years ago,good place peaceful walk
Attidiya Bird Sanctuary,colombo,7 years ago,naturalist place slowly losing government needs take precautions
Beddagana Wetland Park,colombo,a month ago,park photographers beautiful scenes places take captures network walking trails takes deep lush areas observe resident migratory bird flowers
Beddagana Wetland Park,colombo,a month ago,beautiful place get beautiful captures like natural vibes must visit beautiful views better place calm good wedding shoot preschool
Beddagana Wetland Park,colombo,2 days ago,place calm beautiful really visiting little ticket price low good washroom facilities
Beddagana Wetland Park,colombo,3 months ago,went friends ticket prices low around peaceful best visit morning evening bird lovers paid washrooms available paid parking available
Beddagana Wetland Park,colombo,a month ago,beautiful park large big diversity great natural park busy capital hope 'll put guides park though overall beautiful location everyone near area visit least
Beddagana Wetland Park,colombo,2 months ago,better place calm feel like walking little best place lovers spend time tickets people sit bridges feel partner
Beddagana Wetland Park,colombo,a week ago,super natural park good photo shoot see birds get ticket vehicle parking ticket also
Beddagana Wetland Park,colombo,3 months ago,nice place colombo googly map takes right location ample parking sign boards well fixed easily miss floating deck plus ask directions entrance office clearly helpful better go morning evening
Beddagana Wetland Park,colombo,a month ago,great place one would believe little far busy hectic town famous among people families lovers
Beddagana Wetland Park,colombo,a month ago,photographers see new place new kind free couples strange place single person around colombo think come
Beddagana Wetland Park,colombo,a month ago,park calm quite park colombo area good place watch birds butterflies small animals well forget rainy seasons since difficult find inside park difficult walk trails rainy days since roads get muddy
Beddagana Wetland Park,colombo,4 months ago,place quit busy atmosphere colombo area even think colombo enter place photographer especially wildlife visit many birds animals see
Beddagana Wetland Park,colombo,2 weeks ago,park great usual guess scam collected tickets exit normally ripped ticket half gave one piece customer taking whole ticket asked
Beddagana Wetland Park,colombo,5 months ago,place gem recently discovered friends also photographers great place birding dragonflies soak views sure
Beddagana Wetland Park,colombo,a month ago,visited park family despite popular spot couples also great nature trail colombo suburbs parking costs entry fee per person however maintenance due
Beddagana Wetland Park,colombo,3 months ago,beautiful place nature lovers gem suburbs colombo city ticket price paid parking paid facilities available opens morning evening
Beddagana Wetland Park,colombo,4 months ago,nice park visit city number bird butterfly varieties cam found also number fish varieties including fish
Beddagana Wetland Park,colombo,2 months ago,park located vibrant city colombo captivating escape urban life harmoniously meets nature enchanting oasis invites step world lush greenery water
Beddagana Wetland Park,colombo,2 months ago,really lovely careful place  made without hearing business town observe wildlife natural ecosystem sri lanka
Beddagana Wetland Park,colombo,4 months ago,one beautiful places country must visit place come colombo nice calm place relax busy streets problems better bring something eat drink
Beddagana Wetland Park,colombo,2 months ago,place good shoot need pay entrance need take permission separately buy separate tickets
Beddagana Wetland Park,colombo,4 months ago,park hidden gem nestled heart sri lanka enchanting oasis nature lovers sanctuary diverse flora parks trails provide escape
Beddagana Wetland Park,colombo,5 months ago,best place reduce situated colombo city area sri peaceful calm full natural vehicle parking area small
Beddagana Wetland Park,colombo,2 weeks ago,park offers connect nature whether solo traveler family looking educational outing couple seeking escape park something offer everyone
Beddagana Wetland Park,colombo,5 months ago,another gift nature definitely visit place clam peaceful place different kind animals nice location photographs entrance ticket cost per person
Beddagana Wetland Park,colombo,5 months ago,explore beauty enchanting destination perfect creating lasting memories loved parking available per hour upon arrival obtain entry ticket
Beddagana Wetland Park,colombo,5 months ago,great place connect nature views downside guy parking lot tries scam charging
Beddagana Wetland Park,colombo,3 months ago,simply love place photography addicted person visit place nature
Beddagana Wetland Park,colombo,8 months ago,better nature look compared majority walking path trees less open spaces limited area see birds going bird watching go early morning increase
Beddagana Wetland Park,colombo,3 months ago,peacefully calm place visit nice walking paths birds wild little animals beautiful place beautiful calm best mind relaxing
Beddagana Wetland Park,colombo,9 months ago,place spend nature lover seasonal able beauty nature tickets affordable place able see different
Beddagana Wetland Park,colombo,5 months ago,pleasant place visit nature lovers relish chirps birds peaceful atmosphere
Beddagana Wetland Park,colombo,3 months ago,place relax nature small trail built top small swamp sight see nature urban cities meet usually crowded week days
Beddagana Wetland Park,colombo,5 months ago,beautiful place colombo sri lanka bird watchers photographers visit place beauty
Beddagana Wetland Park,colombo,3 months ago,beautiful place go see birds usually see lovers walking path made wood logs beams path built lot parts
Beddagana Wetland Park,colombo,2 months ago,great place spend quality time nature great place children visit get see
Beddagana Wetland Park,colombo,6 months ago,really nice place lots different kinds see definitely worth visit could crowded sometimes
Beddagana Wetland Park,colombo,a year ago,beautiful place colombo city area calm nice place walk naturally built nature place charged ticket place pretty much worthy amount pay facilities available parking washrooms et
Beddagana Wetland Park,colombo,10 months ago,region good biodiversity place relax mind getting clean good area close colombo city see many animals birds fish beauty nature unexpected experience
Beddagana Wetland Park,colombo,3 months ago,calm way see ruins motte parking facilities available visitors specific things watch calmness around
Beddagana Wetland Park,colombo,10 months ago,place best place spend time nature colombo city limit big car parking available lots animals birds reptiles living area crowded best place
Beddagana Wetland Park,colombo,6 months ago,good place calm well maintained good taking pictures best visit early morning
Beddagana Wetland Park,colombo,8 months ago,park beautiful place perfect peaceful day easily park car buy affordable ticket natural scenery food available park good idea bring overall great spot relax beauty
Beddagana Wetland Park,colombo,a year ago,calm beautiful place located right middle colombo nice place visit family especially evening time wooden path goes along swamps lake beautiful viewpoints
Beddagana Wetland Park,colombo,6 days ago,one best kept secrets visit park wild within colombo city limits
Beddagana Wetland Park,colombo,4 months ago,park hidden gem offers captivating experience nature ecosystem provides escape bustling city life parks lush greenery diverse
Beddagana Wetland Park,colombo,4 months ago,best place travel sri lanka recommend place anyone really good experience
Beddagana Wetland Park,colombo,a year ago,plan visit better go morning much hot afternoon able nature place maintained well pay
Beddagana Wetland Park,colombo,2 days ago,beautiful place good couples photo shoots also students learn lot things kind places
Beddagana Wetland Park,colombo,8 months ago,decent place take learn birds butterflies dragonflies nice place spend hour walk around best time go early
Beddagana Wetland Park,colombo,8 months ago,calm nice place walk tickets open
Beddagana Wetland Park,colombo,4 months ago,one beautiful park near motte calm peaceful small animals sounds
Beddagana Wetland Park,colombo,9 months ago,get bus walking distance wide parking area like hiding natural watching area beautiful scenery restrictions u watch independently visiting place
Beddagana Wetland Park,colombo,2 months ago,place best place spend time nature colombo city limits big car parking available best place
Beddagana Wetland Park,colombo,4 months ago,best within colombo area however close planning day trip better visit morning hours evening something different colombo busy city
Beddagana Wetland Park,colombo,8 months ago,great place feel nature without going colombo location open everyday tickets
Beddagana Wetland Park,colombo,2 months ago,good place release fully natural place trees green tries wind spend mind relaxed time
Beddagana Wetland Park,colombo,a year ago,really beautiful place visit loved parking pay per hour entering need pay per person get ticket ticketing office park opened
Beddagana Wetland Park,colombo,a year ago,really beautiful eye catching place visit loved ticket per person could get tickets ticketing office also friendly full greenery
Beddagana Wetland Park,colombo,5 months ago,beautiful place spend time nature special person freehold
Beddagana Wetland Park,colombo,4 months ago,place good ticket price foods allowed
Beddagana Wetland Park,colombo,a week ago,beautiful ecosystem free place breathe comfort treasure trove memories lovely place
Beddagana Wetland Park,colombo,3 months ago,comparing access fees nothing watch day time hotly one water tap also located near entrance place sit may good morning watch birds day time
Beddagana Wetland Park,colombo,4 months ago,calm beautiful natural park located within urban colombo district good walk building wooden paths water popular spot beauty morning evening times
Beddagana Wetland Park,colombo,3 months ago,maintenance pleasing attractive feels like colombo really good atmosphere suitable perfect location photography nature lovers ticket prices also reasonable worthy
Beddagana Wetland Park,colombo,2 weeks ago,best place go partner
Beddagana Wetland Park,colombo,a year ago,good place come relax partner family lot animal witness many birds would recommend families visit evening times lot couples morning may suitable small sometimes
Beddagana Wetland Park,colombo,a year ago,beautiful walk nature husband year old son observations butterflies dragonflies birds interesting us great see plastic around keep good efforts back sure next time colombo
Beddagana Wetland Park,colombo,4 months ago,recent visit park enchanting experience moment entered captivated natural beauty surrounded parks lush greenery water diverse wildlife created
Beddagana Wetland Park,colombo,2 years ago,beautiful place relaxing family far town big parking space need take tickets enter reasonable prices see different types birds flowers places good place photography
Beddagana Wetland Park,colombo,a year ago,walking area inside park built wooden path walk swamp areas ample parking security personnel protect vehicle charge per person entrance mostly crowded couples nice visit family friends
Beddagana Wetland Park,colombo,a month ago,beautiful place spend time friends family well lot beautiful areas use photography locations feel beauty nature
Beddagana Wetland Park,colombo,2 years ago,good atmosphere mainly suitable relax good birdwatching spot kind birds extending place nicer near future tickets lar per adult
Beddagana Wetland Park,colombo,5 years ago,first see greenish ticket plastics polythene allowed main reason place kept clean place nice saw birds different variety
Beddagana Wetland Park,colombo,4 months ago,place spend nature lover seasonal able beauty nature tickets affordable place able see different
Beddagana Wetland Park,colombo,a year ago,park wow relaxing nature meets love place good evening walk please doesn't spoil recommend place things saw much places small pathways place super
Beddagana Wetland Park,colombo,a year ago,park lovely place feel natural many kinds birds coming place birdwatching colombo recommend place area looks like
Beddagana Wetland Park,colombo,a year ago,experience beauty nature middle urban setting looked world
Beddagana Wetland Park,colombo,a year ago,inside park around wooden path built walk across swamps could see many birds photos description scenery floating
Beddagana Wetland Park,colombo,a year ago,nice place better visit evening hours many bird fish
Beddagana Wetland Park,colombo,8 months ago,park colombo true oasis within city limits peaceful perfect relaxing nature ideal spot seeking place
Beddagana Wetland Park,colombo,5 years ago,park pretty nice enough see quite birds butterflies read sign boards able identify many couples 
Beddagana Wetland Park,colombo,a year ago,could doesn't believe situated colombo visited highly green area cool place day relaxed facilities limited charge ticket price big improvements doesn't worry place friendly
Beddagana Wetland Park,colombo,5 months ago,good place maintenance good many ecosystems small area
Beddagana Wetland Park,colombo,2 years ago,beautiful location motte must visit anyone holiday casual stroll head needed photographer would ideal location spend hours
Beddagana Wetland Park,colombo,a year ago,beautiful place area better place looking calm peaceful lot birds butterflies saw spending time however car park
Beddagana Wetland Park,colombo,5 years ago,calm bird watching park situated close proximity colombo entrance fee per locals prohibited take polythene plastic bottles inside park available inside park good place isolated urban
Beddagana Wetland Park,colombo,2 years ago,place easy access closer main roads beautifully designed ideal bird watching wedding photography educational tours special permission required wedding preschool photography recommended
